symbol,security_id,company_name,nse_industry,is_defence,fno_lot_size
IDEA,14366,Vodafone Idea Ltd.,Telecommunication,false,71475
IDFCFIRSTB,11184,IDFC First Bank Ltd.,Financial Services,false,9275
IEX,220,Indian Energy Exchange Ltd.,Financial Services,false,4350
INDHOTEL,1512,Indian Hotels Co. Ltd.,Consumer Services,false,1000
INDIANB,14309,Indian Bank,Financial Services,false,1000
INDIGO,11195,InterGlobe Aviation Ltd.,Services,false,150
INDUSINDBK,5258,IndusInd Bank Ltd.,Financial Services,false,700
INDUSTOWER,29135,Indus Towers Ltd.,Telecommunication,false,1700
INFY,1594,Infosys Ltd.,Information Technology,false,400
INOXWIND,7852,Inox Wind Ltd.,Capital Goods,false,6400
IOC,1624,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,false,4875
IREDA,20261,Indian Renewable Energy Development Agency Ltd.,Financial Services,false,4525
IRFC,2029,Indian Railway Finance Corporation Ltd.,Financial Services,false,5425
ITC,1660,ITC Ltd.,Fast Moving Consumer Goods,false,1725
JINDALSTEL,6733,Jindal Steel Ltd.,Metals & Mining,false,625
JIOFIN,18143,Jio Financial Services Ltd.,Financial Services,false,2350
JSWENERGY,17869,JSW Energy Ltd.,Power,false,1075
JSWSTEEL,11723,JSW Steel Ltd.,Metals & Mining,false,675
JUBLFOOD,18096,Jubilant Foodworks Ltd.,Consumer Services,false,1250
KALYANKJIL,2955,Kalyan Jewellers India Ltd.,Consumer Durables,false,1350
KAYNES,12092,Kaynes Technology India Ltd.,Capital Goods,false,150
KEI,13310,KEI Industries Ltd.,Capital Goods,false,175
KFINTECH,13359,Kfin Technologies Ltd.,Financial Services,false,575
KOTAKBANK,1922,Kotak Mahindra Bank Ltd.,Financial Services,false,2000
KPITTECH,9683,KPIT Technologies Ltd.,Information Technology,false,775
LAURUSLABS,19234,Laurus Labs Ltd.,Healthcare,false,850
LICHSGFIN,1997,LIC Housing Finance Ltd.,Financial Services,false,1000
LICI,9480,Life Insurance Corporation of India,Financial Services,false,1400
LODHA,3220,Lodha Developers Ltd.,Realty,false,625
LT,11483,Larsen & Toubro Ltd.,Construction,false,175
LTF,24948,L&T Finance Ltd.,Financial Services,false,2250
LTM,17818,LTM Ltd.,Information Technology,false,150
LUPIN,10440,Lupin Ltd.,Healthcare,false,425
M&M,2031,Mahindra & Mahindra Ltd.,Automobile and Auto Components,false,200
MAHABANK,11377,Bank of Maharashtra,Financial Services,false,6500
MANAPPURAM,19061,Manappuram Finance Ltd.,Financial Services,false,3000
MANKIND,15380,Mankind Pharma Ltd.,Healthcare,false,250
MARICO,4067,Marico Ltd.,Fast Moving Consumer Goods,false,1200
MARUTI,10999,Maruti Suzuki India Ltd.,Automobile and Auto Components,false,50
MAXHEALTH,22377,Max Healthcare Institute Ltd.,Healthcare,false,525
MAZDOCK,509,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,true,225
MCX,31181,Multi Commodity Exchange of India Ltd.,Financial Services,false,225
MFSL,2142,Max Financial Services Ltd.,Financial Services,false,400
MOTHERSON,25510,Samvardhana Motherson International Ltd.,Automobile and Auto Components,false,6150
MOTILALOFS,14947,Motilal Oswal Financial Services Ltd.,Financial Services,false,775
MPHASIS,4503,MphasiS Ltd.,Information Technology,false,275
MUTHOOTFIN,23650,Muthoot Finance Ltd.,Financial Services,false,275
NAM-INDIA,357,Nippon Life India Asset Management Ltd.,Financial Services,false,625
NATIONALUM,6364,National Aluminium Co. Ltd.,Metals & Mining,false,1875
NAUKRI,13751,Info Edge (India) Ltd.,Consumer Services,false,550
NBCC,31415,NBCC (India) Ltd.,Construction,false,6500
NESTLEIND,17963,Nestle India Ltd.,Fast Moving Consumer Goods,false,500
NHPC,17400,NHPC Ltd.,Power,false,6950
NMDC,15332,NMDC Ltd.,Metals & Mining,false,6750
NTPC,11630,NTPC Ltd.,Power,false,1500
NYKAA,6545,FSN E-Commerce Ventures Ltd.,Consumer Services,false,3125
